Image Name	Actual Class	Predicted Class	Probabilities
l8_54T_00025.png	54T	54T	0.6107, 0.1210, 0.1445, 0.1238
l8_54T_00090.png	54T	54T	0.9899, 0.0035, 0.0005, 0.0061
l8_54T_00043.png	54T	54T	0.9994, 0.0001, 0.0001, 0.0003
l8_54T_00127.png	54T	17R	0.2636, 0.7167, 0.0062, 0.0135
l8_54T_00060.png	54T	54T	0.8569, 0.0483, 0.0360, 0.0587
l8_54T_00026.png	54T	54T	0.7110, 0.2458, 0.0049, 0.0383
l8_54T_00003.png	54T	54T	0.9879, 0.0094, 0.0008, 0.0020
l8_54T_00172.png	54T	54T	0.9711, 0.0266, 0.0007, 0.0016
l8_54T_00009.png	54T	54T	0.9860, 0.0122, 0.0004, 0.0013
l8_54T_00113.png	54T	54T	0.4758, 0.1274, 0.1292, 0.2676
l8_54T_00101.png	54T	54T	0.4542, 0.2751, 0.0430, 0.2277
l8_54T_00167.png	54T	54T	0.9981, 0.0002, 0.0001, 0.0016
l8_54T_00152.png	54T	17R	0.1431, 0.7619, 0.0245, 0.0705
l8_54T_00147.png	54T	54T	0.7177, 0.2687, 0.0069, 0.0066
l8_54T_00046.png	54T	54T	0.9982, 0.0010, 0.0006, 0.0003
l8_54T_00137.png	54T	17R	0.2044, 0.2868, 0.2640, 0.2448
l8_54T_00174.png	54T	54T	0.6751, 0.3003, 0.0139, 0.0106
l8_54T_00179.png	54T	54T	0.9566, 0.0365, 0.0052, 0.0017
l8_54T_00151.png	54T	54T	0.3333, 0.3097, 0.1650, 0.1921
l8_54T_00044.png	54T	54T	0.9948, 0.0028, 0.0020, 0.0004
l8_54T_00066.png	54T	54T	0.9984, 0.0006, 0.0003, 0.0007
l8_54T_00126.png	54T	54T	0.9966, 0.0011, 0.0002, 0.0021
l8_54T_00119.png	54T	54T	0.9973, 0.0002, 0.0004, 0.0021
l8_54T_00132.png	54T	54T	0.9187, 0.0652, 0.0052, 0.0109
l8_54T_00115.png	54T	17R	0.0148, 0.9577, 0.0125, 0.0151
l8_54T_00112.png	54T	54T	0.7380, 0.0140, 0.0140, 0.2340
l8_54T_00096.png	54T	54T	0.9948, 0.0027, 0.0015, 0.0010
l8_54T_00028.png	54T	54T	0.9984, 0.0004, 0.0006, 0.0006
l8_54T_00139.png	54T	17R	0.2643, 0.3321, 0.1704, 0.2332
l8_54T_00083.png	54T	54T	0.9962, 0.0020, 0.0006, 0.0013
l8_54T_00125.png	54T	54T	0.9857, 0.0092, 0.0008, 0.0043
l8_54T_00103.png	54T	54T	0.7008, 0.1127, 0.0846, 0.1020
l8_54T_00160.png	54T	54T	0.7980, 0.0658, 0.0574, 0.0788
l8_54T_00062.png	54T	54T	0.5257, 0.2578, 0.0103, 0.2062
l8_54T_00098.png	54T	54T	0.9144, 0.0088, 0.0038, 0.0729
l8_54T_00099.png	54T	54T	0.9907, 0.0009, 0.0006, 0.0078
l8_54T_00007.png	54T	54T	0.9805, 0.0139, 0.0027, 0.0029
l8_54T_00054.png	54T	54T	0.9976, 0.0005, 0.0007, 0.0012
l8_54T_00049.png	54T	54T	0.8774, 0.1080, 0.0059, 0.0087
l8_54T_00010.png	54T	54T	0.9671, 0.0170, 0.0131, 0.0027
l8_54T_00053.png	54T	54T	0.9969, 0.0002, 0.0005, 0.0024
l8_54T_00038.png	54T	54T	0.8239, 0.0649, 0.0452, 0.0660
l8_54T_00005.png	54T	54T	0.9880, 0.0053, 0.0022, 0.0045
l8_54T_00171.png	54T	54T	0.9110, 0.0801, 0.0033, 0.0056
l8_54T_00088.png	54T	54T	0.9946, 0.0013, 0.0010, 0.0031
l8_54T_00144.png	54T	54T	0.3284, 0.2462, 0.2464, 0.1791
l8_54T_00065.png	54T	54T	0.9986, 0.0000, 0.0000, 0.0013
l8_54T_00123.png	54T	17R	0.2859, 0.3558, 0.1203, 0.2380
l8_54T_00165.png	54T	54T	0.9917, 0.0034, 0.0006, 0.0043
l8_54T_00008.png	54T	54T	0.9862, 0.0092, 0.0011, 0.0035
l8_54T_00041.png	54T	54T	0.7731, 0.0505, 0.0691, 0.1073
l8_54T_00039.png	54T	54T	0.5217, 0.1092, 0.1070, 0.2621
l8_54T_00051.png	54T	54T	0.9998, 0.0000, 0.0000, 0.0001
l8_54T_00055.png	54T	54T	0.9929, 0.0009, 0.0011, 0.0051
l8_54T_00013.png	54T	54T	0.9973, 0.0019, 0.0002, 0.0005
l8_54T_00141.png	54T	54T	0.8155, 0.0381, 0.1104, 0.0360
l8_54T_00084.png	54T	54T	0.9790, 0.0043, 0.0086, 0.0081
l8_54T_00074.png	54T	54T	0.9980, 0.0007, 0.0001, 0.0012
l8_54T_00149.png	54T	54T	0.9626, 0.0122, 0.0039, 0.0213
l8_54T_00061.png	54T	54T	0.5985, 0.2789, 0.0607, 0.0619
l8_54T_00111.png	54T	54T	0.8587, 0.0195, 0.0224, 0.0995
l8_54T_00173.png	54T	54T	0.8896, 0.0693, 0.0126, 0.0286
l8_54T_00129.png	54T	54T	0.8845, 0.0023, 0.0005, 0.1126
l8_54T_00059.png	54T	54T	0.9846, 0.0121, 0.0019, 0.0014
l8_54T_00086.png	54T	17R	0.2647, 0.6222, 0.0849, 0.0282
l8_54T_00170.png	54T	54T	0.7430, 0.2330, 0.0116, 0.0124
l8_54T_00016.png	54T	54T	0.9689, 0.0061, 0.0036, 0.0214
l8_54T_00130.png	54T	17R	0.0525, 0.9172, 0.0094, 0.0209
l8_54T_00073.png	54T	54S	0.1203, 0.3708, 0.0778, 0.4311
l8_54T_00133.png	54T	54T	0.5890, 0.1456, 0.1342, 0.1312
l8_54T_00095.png	54T	54T	0.9917, 0.0027, 0.0004, 0.0052
l8_54T_00035.png	54T	54T	0.9980, 0.0017, 0.0002, 0.0002
l8_54T_00162.png	54T	54T	0.9759, 0.0210, 0.0014, 0.0017
l8_54T_00004.png	54T	54T	0.9994, 0.0003, 0.0002, 0.0002
l8_54T_00063.png	54T	54T	0.6123, 0.1733, 0.0730, 0.1414
l8_54T_00178.png	54T	54T	0.7987, 0.1604, 0.0269, 0.0140
l8_54T_00143.png	54T	17R	0.3513, 0.6169, 0.0248, 0.0070
l8_54T_00057.png	54T	54T	0.7258, 0.1132, 0.1251, 0.0359
l8_54T_00042.png	54T	17R	0.2938, 0.3050, 0.0984, 0.3028
l8_54T_00067.png	54T	54T	0.9966, 0.0008, 0.0011, 0.0016
l8_54T_00105.png	54T	54T	0.7452, 0.0427, 0.0546, 0.1575
l8_54T_00164.png	54T	54T	0.9896, 0.0009, 0.0005, 0.0090
l8_54T_00069.png	54T	54T	0.8871, 0.0176, 0.0022, 0.0931
l8_54T_00155.png	54T	54T	0.9988, 0.0006, 0.0002, 0.0005
l8_54T_00015.png	54T	54T	0.9412, 0.0235, 0.0025, 0.0328
l8_54T_00006.png	54T	54T	0.6281, 0.0638, 0.0573, 0.2509
l8_54T_00027.png	54T	54T	0.9994, 0.0002, 0.0001, 0.0003
l8_54T_00070.png	54T	54T	0.9499, 0.0249, 0.0095, 0.0157
l8_54T_00037.png	54T	54T	0.9980, 0.0005, 0.0002, 0.0014
l8_54T_00071.png	54T	54T	0.8598, 0.0723, 0.0177, 0.0502
l8_54T_00079.png	54T	17R	0.1884, 0.3207, 0.2516, 0.2393
l8_54T_00093.png	54T	54T	0.9912, 0.0006, 0.0001, 0.0081
l8_54T_00148.png	54T	54T	0.6736, 0.1300, 0.0740, 0.1224
l8_54T_00158.png	54T	54T	0.8656, 0.0954, 0.0067, 0.0323
l8_54T_00076.png	54T	54T	0.5148, 0.2096, 0.1383, 0.1373
l8_54T_00040.png	54T	17R	0.2141, 0.3185, 0.2393, 0.2281
l8_54T_00030.png	54T	54T	0.9252, 0.0033, 0.0012, 0.0703
l8_54T_00023.png	54T	17R	0.3827, 0.5977, 0.0109, 0.0088
l8_54T_00080.png	54T	17R	0.2417, 0.3663, 0.1149, 0.2771
l8_54T_00110.png	54T	54T	0.4777, 0.1103, 0.0700, 0.3421
l8_54T_00168.png	54T	54T	0.9966, 0.0015, 0.0003, 0.0016
l8_54T_00131.png	54T	17R	0.2742, 0.5522, 0.0274, 0.1462
l8_54T_00052.png	54T	54T	0.9724, 0.0048, 0.0150, 0.0078
l8_54T_00068.png	54T	54T	0.8113, 0.0805, 0.0211, 0.0870
l8_54T_00161.png	54T	54T	0.6232, 0.1024, 0.0568, 0.2177
l8_54T_00106.png	54T	17R	0.0025, 0.9885, 0.0057, 0.0032
l8_54T_00036.png	54T	54T	0.9919, 0.0030, 0.0032, 0.0019
l8_54T_00002.png	54T	54T	0.9990, 0.0006, 0.0003, 0.0001
l8_54T_00085.png	54T	17R	0.2490, 0.3460, 0.2201, 0.1848
l8_54T_00064.png	54T	54T	0.9562, 0.0035, 0.0023, 0.0380
l8_54T_00031.png	54T	54T	0.9945, 0.0007, 0.0005, 0.0042
l8_54T_00058.png	54T	54T	0.5919, 0.2872, 0.0131, 0.1077
l8_54T_00114.png	54T	17R	0.0023, 0.9893, 0.0059, 0.0026
l8_54T_00134.png	54T	17R	0.0625, 0.8237, 0.0133, 0.1006
l8_54T_00104.png	54T	54T	0.9945, 0.0038, 0.0006, 0.0012
l8_54T_00094.png	54T	54T	0.9951, 0.0002, 0.0001, 0.0046
l8_54T_00163.png	54T	54T	0.9397, 0.0014, 0.0008, 0.0581
l8_54T_00001.png	54T	54T	0.9995, 0.0003, 0.0001, 0.0001
l8_54T_00124.png	54T	54S	0.3807, 0.0021, 0.0014, 0.6158
l8_54T_00107.png	54T	17R	0.0019, 0.9949, 0.0006, 0.0026
l8_54T_00142.png	54T	54T	0.8700, 0.0485, 0.0033, 0.0782
l8_54T_00078.png	54T	54T	0.4013, 0.1244, 0.1443, 0.3300
l8_54T_00180.png	54T	54T	0.9898, 0.0086, 0.0008, 0.0008
l8_54T_00087.png	54T	17R	0.2727, 0.6146, 0.0577, 0.0550
l8_54T_00100.png	54T	54T	0.9993, 0.0002, 0.0000, 0.0004
l8_54T_00109.png	54T	54T	0.6543, 0.0172, 0.0215, 0.3070
l8_54T_00156.png	54T	54T	0.9946, 0.0036, 0.0004, 0.0015
l8_54T_00128.png	54T	54T	0.9184, 0.0638, 0.0010, 0.0169
l8_54T_00102.png	54T	17R	0.1252, 0.6575, 0.0668, 0.1505
l8_54T_00089.png	54T	54T	0.9937, 0.0016, 0.0006, 0.0041
l8_54T_00017.png	54T	54S	0.1794, 0.3210, 0.0693, 0.4303
l8_54T_00136.png	54T	54T	0.3169, 0.2638, 0.1866, 0.2328
l8_54T_00169.png	54T	54T	0.9044, 0.0032, 0.0017, 0.0906
l8_54T_00092.png	54T	54S	0.3115, 0.0612, 0.0108, 0.6165
l8_54T_00012.png	54T	54T	0.9685, 0.0183, 0.0035, 0.0096
l8_17R_00127.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00153.png	17R	17R	0.0001, 0.9998, 0.0000, 0.0000
l8_17R_00273.png	17R	17R	0.0002, 0.9995, 0.0001, 0.0002
l8_17R_00087.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00208.png	17R	17R	0.0005, 0.9993, 0.0001, 0.0002
l8_17R_00050.png	17R	17R	0.0012, 0.9985, 0.0002, 0.0002
l8_17R_00051.png	17R	54T	0.4580, 0.0557, 0.0373, 0.4491
l8_17R_00286.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00316.png	17R	17R	0.0010, 0.9980, 0.0003, 0.0007
l8_17R_00310.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00081.png	17R	17R	0.0242, 0.8554, 0.0753, 0.0450
l8_17R_00019.png	17R	17R	0.1340, 0.8326, 0.0115, 0.0219
l8_17R_00360.png	17R	17R	0.1542, 0.8217, 0.0151, 0.0090
l8_17R_00266.png	17R	17R	0.0001, 0.9995, 0.0002, 0.0001
l8_17R_00375.png	17R	17R	0.4357, 0.5040, 0.0205, 0.0398
l8_17R_00203.png	17R	17R	0.0000, 0.9999, 0.0000, 0.0000
l8_17R_00029.png	17R	17R	0.0340, 0.9412, 0.0146, 0.0102
l8_17R_00062.png	17R	17R	0.0011, 0.9969, 0.0003, 0.0017
l8_17R_00355.png	17R	17R	0.0709, 0.9161, 0.0068, 0.0062
l8_17R_00069.png	17R	17R	0.0563, 0.9046, 0.0255, 0.0135
l8_17R_00086.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00318.png	17R	17R	0.0002, 0.9991, 0.0006, 0.0001
l8_17R_00133.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00085.png	17R	17R	0.0003, 0.9992, 0.0003, 0.0002
l8_17R_00014.png	17R	17R	0.1727, 0.4384, 0.2065, 0.1824
l8_17R_00045.png	17R	17R	0.0033, 0.9709, 0.0022, 0.0236
l8_17R_00078.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00143.png	17R	17R	0.0800, 0.8376, 0.0383, 0.0441
l8_17R_00335.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00009.png	17R	17R	0.0071, 0.9703, 0.0171, 0.0055
l8_17R_00167.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00212.png	17R	17R	0.2523, 0.7261, 0.0099, 0.0116
l8_17R_00160.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00140.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00107.png	17R	17R	0.0328, 0.9081, 0.0246, 0.0345
l8_17R_00249.png	17R	54T	0.4637, 0.2553, 0.0400, 0.2409
l8_17R_00139.png	17R	17R	0.0661, 0.8974, 0.0286, 0.0079
l8_17R_00163.png	17R	17R	0.0749, 0.4915, 0.2316, 0.2020
l8_17R_00252.png	17R	54T	0.7187, 0.1267, 0.0196, 0.1349
l8_17R_00036.png	17R	17R	0.0002, 0.9997, 0.0000, 0.0001
l8_17R_00329.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00287.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00327.png	17R	17R	0.0281, 0.9629, 0.0048, 0.0041
l8_17R_00368.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00068.png	17R	17R	0.0334, 0.9277, 0.0365, 0.0024
l8_17R_00253.png	17R	17R	0.0002, 0.9997, 0.0000, 0.0001
l8_17R_00202.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00205.png	17R	17R	0.0002, 0.9995, 0.0001, 0.0003
l8_17R_00247.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00333.png	17R	17R	0.0138, 0.9803, 0.0044, 0.0015
l8_17R_00211.png	17R	17R	0.4437, 0.5235, 0.0158, 0.0169
l8_17R_00022.png	17R	54T	0.8447, 0.1105, 0.0254, 0.0194
l8_17R_00072.png	17R	17R	0.4707, 0.5120, 0.0087, 0.0086
l8_17R_00063.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00100.png	17R	17R	0.0002, 0.9998, 0.0000, 0.0000
l8_17R_00028.png	17R	17R	0.0010, 0.9980, 0.0007, 0.0003
l8_17R_00123.png	17R	17R	0.0036, 0.9959, 0.0003, 0.0002
l8_17R_00259.png	17R	17R	0.0004, 0.9995, 0.0000, 0.0000
l8_17R_00230.png	17R	17R	0.1488, 0.7673, 0.0560, 0.0278
l8_17R_00342.png	17R	17R	0.0005, 0.9988, 0.0003, 0.0004
l8_17R_00118.png	17R	17R	0.0001, 0.9995, 0.0001, 0.0002
l8_17R_00013.png	17R	17R	0.2623, 0.7334, 0.0024, 0.0019
l8_17R_00025.png	17R	54T	0.4233, 0.3659, 0.1127, 0.0981
l8_17R_00004.png	17R	17R	0.0089, 0.9189, 0.0055, 0.0667
l8_17R_00040.png	17R	17R	0.0855, 0.6862, 0.0588, 0.1695
l8_17R_00365.png	17R	17R	0.0890, 0.8761, 0.0196, 0.0153
l8_17R_00366.png	17R	17R	0.0902, 0.7748, 0.0697, 0.0653
l8_17R_00001.png	17R	17R	0.0000, 0.9999, 0.0000, 0.0000
l8_17R_00215.png	17R	17R	0.0018, 0.9976, 0.0002, 0.0005
l8_17R_00301.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00084.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00357.png	17R	17R	0.0006, 0.9982, 0.0007, 0.0006
l8_17R_00336.png	17R	17R	0.2339, 0.6389, 0.0818, 0.0454
l8_17R_00183.png	17R	17R	0.0111, 0.9827, 0.0048, 0.0013
l8_17R_00189.png	17R	17R	0.0002, 0.9997, 0.0001, 0.0001
l8_17R_00196.png	17R	17R	0.0260, 0.9612, 0.0101, 0.0028
l8_17R_00246.png	17R	17R	0.0002, 0.9995, 0.0001, 0.0002
l8_17R_00070.png	17R	17R	0.0163, 0.9819, 0.0005, 0.0013
l8_17R_00144.png	17R	17R	0.0320, 0.9082, 0.0517, 0.0082
l8_17R_00179.png	17R	17R	0.0026, 0.9888, 0.0061, 0.0025
l8_17R_00113.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00010.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00109.png	17R	17R	0.0338, 0.9528, 0.0072, 0.0062
l8_17R_00200.png	17R	17R	0.0523, 0.8600, 0.0044, 0.0833
l8_17R_00300.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00136.png	17R	17R	0.0010, 0.9944, 0.0002, 0.0044
l8_17R_00112.png	17R	17R	0.0248, 0.9279, 0.0420, 0.0052
l8_17R_00135.png	17R	17R	0.1398, 0.8535, 0.0029, 0.0038
l8_17R_00096.png	17R	17R	0.0010, 0.9982, 0.0003, 0.0005
l8_17R_00270.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00322.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00303.png	17R	17R	0.0014, 0.9957, 0.0018, 0.0011
l8_17R_00339.png	17R	17R	0.0358, 0.9530, 0.0026, 0.0087
l8_17R_00129.png	17R	17R	0.1349, 0.6728, 0.0388, 0.1535
l8_17R_00092.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00227.png	17R	17R	0.0003, 0.9991, 0.0002, 0.0004
l8_17R_00142.png	17R	17R	0.0117, 0.9532, 0.0079, 0.0272
l8_17R_00229.png	17R	17R	0.0057, 0.9625, 0.0287, 0.0032
l8_17R_00164.png	17R	17R	0.0008, 0.9967, 0.0014, 0.0011
l8_17R_00082.png	17R	17R	0.0132, 0.9710, 0.0119, 0.0040
l8_17R_00314.png	17R	17R	0.0831, 0.9077, 0.0061, 0.0030
l8_17R_00284.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00217.png	17R	17R	0.0009, 0.9988, 0.0003, 0.0001
l8_17R_00134.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00021.png	17R	17R	0.0014, 0.9983, 0.0001, 0.0001
l8_17R_00289.png	17R	17R	0.0001, 0.9999, 0.0000, 0.0000
l8_17R_00263.png	17R	54T	0.4075, 0.3562, 0.1225, 0.1138
l8_17R_00080.png	17R	17R	0.0005, 0.9993, 0.0001, 0.0001
l8_17R_00326.png	17R	17R	0.2063, 0.6513, 0.0474, 0.0950
l8_17R_00281.png	17R	17R	0.0008, 0.9949, 0.0012, 0.0031
l8_17R_00337.png	17R	17R	0.0005, 0.9982, 0.0004, 0.0009
l8_17R_00026.png	17R	17R	0.0012, 0.9956, 0.0030, 0.0003
l8_17R_00373.png	17R	17R	0.0051, 0.9503, 0.0042, 0.0404
l8_17R_00037.png	17R	17R	0.1376, 0.8431, 0.0116, 0.0078
l8_17R_00221.png	17R	17R	0.0005, 0.9993, 0.0001, 0.0001
l8_17R_00223.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00033.png	17R	17R	0.0240, 0.9749, 0.0008, 0.0003
l8_17R_00058.png	17R	17R	0.0012, 0.9971, 0.0014, 0.0003
l8_17R_00015.png	17R	17R	0.0000, 0.9999, 0.0000, 0.0001
l8_17R_00219.png	17R	17R	0.0122, 0.9716, 0.0060, 0.0101
l8_17R_00317.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00209.png	17R	17R	0.0055, 0.9745, 0.0069, 0.0131
l8_17R_00351.png	17R	17R	0.0004, 0.9995, 0.0001, 0.0001
l8_17R_00131.png	17R	17R	0.0473, 0.8953, 0.0256, 0.0318
l8_17R_00234.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00244.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00237.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00240.png	17R	17R	0.1367, 0.8351, 0.0183, 0.0100
l8_17R_00271.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00341.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00101.png	17R	17R	0.1883, 0.7859, 0.0120, 0.0139
l8_17R_00248.png	17R	17R	0.0021, 0.9950, 0.0023, 0.0006
l8_17R_00321.png	17R	17R	0.0007, 0.9989, 0.0001, 0.0003
l8_17R_00155.png	17R	17R	0.0001, 0.9998, 0.0000, 0.0001
l8_17R_00232.png	17R	17R	0.0001, 0.9992, 0.0003, 0.0005
l8_17R_00274.png	17R	17R	0.0010, 0.9989, 0.0001, 0.0001
l8_17R_00161.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00214.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00121.png	17R	17R	0.0033, 0.9875, 0.0087, 0.0005
l8_17R_00110.png	17R	17R	0.0057, 0.9928, 0.0010, 0.0005
l8_17R_00191.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00298.png	17R	54T	0.8058, 0.0271, 0.0148, 0.1524
l8_17R_00192.png	17R	17R	0.0001, 0.9999, 0.0000, 0.0000
l8_17R_00226.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00332.png	17R	17R	0.0006, 0.9993, 0.0001, 0.0001
l8_17R_00233.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00288.png	17R	54T	0.9950, 0.0008, 0.0007, 0.0035
l8_17R_00370.png	17R	17R	0.0000, 0.9999, 0.0000, 0.0000
l8_17R_00228.png	17R	17R	0.0022, 0.9974, 0.0001, 0.0003
l8_17R_00258.png	17R	17R	0.0309, 0.9565, 0.0035, 0.0091
l8_17R_00126.png	17R	54T	0.8299, 0.0725, 0.0408, 0.0568
l8_17R_00079.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00312.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00188.png	17R	54S	0.0271, 0.0413, 0.0045, 0.9271
l8_17R_00074.png	17R	17R	0.0000, 1.0000, 0.0000, 0.0000
l8_17R_00363.png	17R	17R	0.0085, 0.9845, 0.0044, 0.0026
l8_17R_00138.png	17R	17R	0.0003, 0.9997, 0.0000, 0.0000
l8_17R_00005.png	17R	17R	0.0414, 0.9059, 0.0236, 0.0291
l8_17R_00124.png	17R	17R	0.0002, 0.9998, 0.0000, 0.0000
l8_17R_00007.png	17R	17R	0.0000, 0.9999, 0.0000, 0.0000
l8_17R_00304.png	17R	54T	0.7804, 0.1930, 0.0057, 0.0209
l8_17R_00290.png	17R	17R	0.0001, 0.9999, 0.0000, 0.0000
l8_17R_00195.png	17R	17R	0.0846, 0.8740, 0.0183, 0.0231
l8_17R_00180.png	17R	54T	0.4673, 0.3049, 0.0510, 0.1768
l8_17R_00352.png	17R	17R	0.0072, 0.9818, 0.0079, 0.0031
l8_17R_00346.png	17R	17R	0.0074, 0.9917, 0.0005, 0.0004
l8_17R_00225.png	17R	17R	0.0000, 0.9999, 0.0000, 0.0000
